['note_on', 'channel=0', 'note=60', 'velocity=0', 'time=0.003125', 323942.0572916678, 93355.29618410017]
['note_on', 'channel=0', 'note=74', 'velocity=37', 'time=0.05625', 324000.6510416678, 93466.65502928845]
['note_on', 'channel=0', 'note=68', 'velocity=0', 'time=0.1125', 324117.8385416678, 93689.37271966501]
['note_on', 'channel=0', 'note=65', 'velocity=0', 'time=0.0010416666666666667', 324118.92361111223, 93691.43492050182]
['note_on', 'channel=0', 'note=79', 'velocity=63', 'time=0.06458333333333333', 324186.1979166678, 93819.29137238469]
['note_on', 'channel=0', 'note=72', 'velocity=0', 'time=0.075', 324264.3229166678, 93967.76983263572]
['note_on', 'channel=0', 'note=74', 'velocity=0', 'time=0.0010416666666666667', 324265.40798611223, 93969.83203347253]
['note_on', 'channel=0', 'note=89', 'velocity=48', 'time=0.042708333333333334', 324309.8958333345, 94054.3822677822]
['note_on', 'channel=0', 'note=79', 'velocity=0', 'time=0.021875', 324332.6822916678, 94097.68848535538]
['note_on', 'channel=0', 'note=91', 'velocity=49', 'time=0.011458333333333333', 324344.61805555667, 94120.37269456038]
['note_on', 'channel=0', 'note=94', 'velocity=71', 'time=0.026041666666666668', 324371.7447916678, 94171.92771548091]
['note_on', 'channel=0', 'note=91', 'velocity=0', 'time=0.03854166666666667', 324411.89236111223, 94248.22914644323]
['note_on', 'channel=0', 'note=95', 'velocity=63', 'time=0.014583333333333334', 324427.0833333345, 94277.09995815877]
['note_on', 'channel=0', 'note=89', 'velocity=0', 'time=0.003125', 324430.3385416678, 94283.28656066919]
['note_on', 'channel=0', 'note=97', 'velocity=62', 'time=0.00625', 324436.8489583345, 94295.65976569014]
['note_on', 'channel=0', 'note=94', 'velocity=0', 'time=0.03854166666666667', 324476.9965277789, 94371.96119665248]
['note_on', 'channel=0', 'note=95', 'velocity=0', 'time=0.05520833333333333', 324534.5052083345, 94481.25784100396]
['note_on', 'channel=0', 'note=103', 'velocity=61', 'time=0.03125', 324567.0572916678, 94543.12386610851]
['note_on', 'channel=0', 'note=97', 'velocity=0', 'time=0.013541666666666667', 324581.1631944456, 94569.93247698723]
['note_on', 'channel=0', 'note=95', 'velocity=77', 'time=0.015625', 324597.4392361123, 94600.86548953957]
['note_on', 'channel=0', 'note=103', 'velocity=0', 'time=0.019791666666666666', 324618.0555555567, 94640.04730543913]
['note_on', 'channel=0', 'note=95', 'velocity=0', 'time=0.06354166666666666', 324684.24479166785, 94765.84155648519]
['note_on', 'channel=0', 'note=108', 'velocity=53', 'time=0.190625', 324882.81250000116, 95143.22430962321]
['note_on', 'channel=0', 'note=108', 'velocity=0', 'time=0.35520833333333335', 325252.8211805567, 95846.43479497885]
['note_on', 'channel=0', 'note=96', 'velocity=40', 'time=0.04583333333333333', 325300.5642361123, 95937.17163179895]
['note_on', 'channel=0', 'note=96', 'velocity=0', 'time=0.121875', 325427.5173611123, 96178.44912970689]
['note_on', 'channel=0', 'note=58', 'velocity=47', 'time=0.2125', 325648.871527779, 96599.1381004182]
['note_on', 'channel=0', 'note=65', 'velocity=57', 'time=0.004166666666666667', 325653.2118055568, 96607.38690376555]
['note_on', 'channel=0', 'note=96', 'velocity=58', 'time=0.0020833333333333333', 325655.38194444566, 96611.51130543917]
['note_on', 'channel=0', 'note=61', 'velocity=57', 'time=0.003125', 325658.637152779, 96617.6979079496]
['note_on', 'channel=0', 'note=55', 'velocity=39', 'time=0.008333333333333333', 325667.31770833454, 96634.19551464416]
['note_on', 'channel=0', 'note=96', 'velocity=0', 'time=0.22604166666666667', 325902.777777779, 97081.6930962341]
['note_on', 'channel=0', 'note=65', 'velocity=0', 'time=0.2677083333333333', 326181.6406250012, 97611.67871129689]
['note_on', 'channel=0', 'note=61', 'velocity=0', 'time=0.004166666666666667', 326185.98090277903, 97619.92751464424]
['note_on', 'channel=0', 'note=58', 'velocity=0', 'time=0.08645833333333333', 326276.0416666679, 97791.09018410028]
['note_on', 'channel=0', 'note=55', 'velocity=0', 'time=0.06979166666666667', 326348.7413194457, 97929.25764016728]
['note_on', 'channel=0', 'note=77', 'velocity=52', 'time=0.6552083333333333', 327031.2500000013, 99226.3819665271]
['note_on', 'channel=0', 'note=62', 'velocity=47', 'time=0.007291666666666667', 327038.8454861124, 99240.81737238484]
['note_on', 'channel=0', 'note=65', 'velocity=46', 'time=0.0010416666666666667', 327039.93055555684, 99242.87957322165]
['note_on', 'channel=0', 'note=54', 'velocity=48', 'time=0.0010416666666666667', 327041.0156250013, 99244.94177405846]
['note_on', 'channel=0', 'note=50', 'velocity=43', 'time=0', 327041.0156250013, 99244.94177405846]
['note_on', 'channel=0', 'note=70', 'velocity=53', 'time=0.0020833333333333333', 327043.18576389016, 99249.06617573208]
['note_on', 'channel=0', 'note=57', 'velocity=51', 'time=0.0020833333333333333', 327045.35590277903, 99253.1905774057]
['control_change', 'channel=0', 'control=64', 'value=0', 'time=0.26666666666666666', 327323.13368055684, 99781.11399163169]
['control_change', 'channel=0', 'control=64', 'value=127', 'time=0.234375', 327567.27430555684, 100245.1091799162]
['note_on', 'channel=0', 'note=65', 'velocity=0', 'time=0.40520833333333334', 327989.3663194457, 101047.30530543915]
['note_on', 'channel=0', 'note=77', 'velocity=0', 'time=0.0875', 328080.51215277903, 101220.530175732]
['note_on', 'channel=0', 'note=62', 'velocity=0', 'time=0.035416666666666666', 328117.40451389016, 101290.64500418391]
['note_on', 'channel=0', 'note=57', 'velocity=0', 'time=0.05625', 328175.99826389016, 101402.0038493722]
['note_on', 'channel=0', 'note=50', 'velocity=0', 'time=0.06875', 328247.61284722347, 101538.10910460228]
['note_on', 'channel=0', 'note=70', 'velocity=0', 'time=0.019791666666666666', 328268.2291666679, 101577.29092050184]
['note_on', 'channel=0', 'note=54', 'velocity=0', 'time=0.035416666666666666', 328305.12152777903, 101647.40574895375]
['note_on', 'channel=0', 'note=75', 'velocity=37', 'time=0.6458333333333334', 328977.8645833346, 102925.97026778218]
['note_on', 'channel=0', 'note=54', 'velocity=36', 'time=0.004166666666666667', 328982.2048611124, 102934.21907112953]
['note_on', 'channel=0', 'note=56', 'velocity=35', 'time=0', 328982.2048611124, 102934.21907112953]
['note_on', 'channel=0', 'note=70', 'velocity=36', 'time=0.003125', 328985.4600694457, 102940.40567363995]
